City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
151,Caravelas,BR,78.01,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
154,Esperance,AU,81.34,few clouds,-33.8667,121.9,Hospitality Esperance
155,Hithadhoo,MV,81.75,overcast clouds,-0.6,73.0833,Scoop Guest House
157,Bodden Town,KY,78.93,few clouds,19.2833,-81.25,Will T Place
158,Takoradi,GH,78.84,broken clouds,4.8845,-1.7554,Raybow International Hotel
164,Tautira,PF,86.0,light rain,-17.7333,-149.15,Pension Oaoa
167,Bolgatanga,GH,80.91,broken clouds,10.7856,-0.8514,Mama's Place
186,Kiama,AU,76.24,overcast clouds,-34.6833,150.8667,The Sebel Kiama Harbourside
191,Saint-Pierre,RE,78.48,broken clouds,-21.3393,55.4781,Lindsey Hôtel
196,Mapiripan,CO,80.94,overcast clouds,2.8892,-72.1256,Monserrate
200,Padang,ID,80.65,overcast clouds,-0.9492,100.3543,Mercure Padang
209,Faanui,PF,80.82,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
212,Qui Nhon,VN,79.61,broken clouds,13.7667,109.2333,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
225,Male,MV,81.41,scattered clouds,4.1748,73.5089,Hotel Octave Maldives
229,Villarrica,PY,75.25,clear sky,-25.75,-56.4333,Mansión Reljuv Tours SA
234,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
