city_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
147,Merrill,US,2022-02-18 01:15:53,45.1805,-89.6835,10.17,62,0,8.05
148,Beringovskiy,RU,2022-02-18 01:15:54,63.05,179.3167,-7.28,95,100,19.73
149,Princeton,US,2022-02-18 01:12:15,25.5384,-80.4089,76.01,89,40,11.5
150,Whitehaven,GB,2022-02-18 01:15:54,54.549,-3.5841,39.85,90,100,8.01
151,Vaini,TO,2022-02-18 01:15:54,-21.2,-175.2,81.61,73,89,9.26
152,Ponta Do Sol,PT,2022-02-18 01:15:55,32.6667,-17.1,64.06,57,35,2.86
153,Kahului,US,2022-02-18 01:15:55,20.8947,-156.47,83.46,71,40,25.32
154,Srednekolymsk,RU,2022-02-18 01:15:56,67.45,153.6833,-28.05,99,100,3.22
155,Vila Velha,BR,2022-02-18 01:15:33,-20.3297,-40.2925,76.95,93,20,6.91
156,Fort Nelson,CA,2022-02-18 01:15:56,58.8053,-122.7002,-2.61,71,100,6.91
157,West Bay,KY,2022-02-18 01:15:56,19.3667,-81.4167,79.07,84,20,9.22
158,Dikson,RU,2022-02-18 01:15:57,73.5069,80.5464,-19.91,96,35,7.43
159,Bathsheba,BB,2022-02-18 01:15:57,13.2167,-59.5167,75.81,83,40,16.11
160,Berlevag,NO,2022-02-18 01:15:58,70.8578,29.0864,31.03,65,100,28.86
161,Turayf,SA,2022-02-18 01:15:58,31.6725,38.6637,50.25,50,0,9.22
162,Katsuura,JP,2022-02-18 01:15:58,35.1333,140.3,48.31,41,0,20.22
163,Burnie,AU,2022-02-18 01:15:59,-41.0667,145.9167,61.95,63,70,15.84
164,Klaksvik,FO,2022-02-18 01:15:59,62.2266,-6.589,31.12,67,95,8.9
165,Chute-Aux-Outardes,CA,2022-02-18 01:16:00,49.1168,-68.399,26.91,80,100,9.22
166,Inhambane,MZ,2022-02-18 01:16:00,-23.865,35.3833,76.19,85,96,9.98
167,Luganville,VU,2022-02-18 01:16:01,-15.5333,167.1667,84.2,74,100,3.8
168,Hithadhoo,MV,2022-02-18 01:16:01,-0.6,73.0833,83.17,65,100,14.38
169,Lorengau,PG,2022-02-18 01:16:01,-2.0226,147.2712,84.88,70,100,4.85
170,Wadi Musa,JO,2022-02-18 01:16:02,30.3222,35.4793,47.71,58,100,3.2
171,Saint George,US,2022-02-18 01:16:03,37.1041,-113.5841,55.99,19,0,3.0
172,Barra Do Bugres,BR,2022-02-18 01:16:03,-15.0725,-57.1811,75.02,93,95,2.24
173,Sao Filipe,CV,2022-02-18 01:16:03,14.8961,-24.4956,74.48,59,100,10.76
174,Bagdarin,RU,2022-02-18 01:16:04,54.4333,113.6,-12.08,90,22,3.24
175,Georgetown,MY,2022-02-18 01:16:04,5.4112,100.3354,82.89,86,20,3.44
176,Severo-Kurilsk,RU,2022-02-18 01:16:05,50.6789,156.125,29.64,96,100,10.67
177,College,US,2022-02-18 01:16:06,64.8569,-147.8028,13.8,64,100,8.05
