City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
225,Male,MV,4.1748,73.5089,81.41,67,28,12.12,scattered clouds
226,Rabo De Peixe,PT,37.8,-25.5833,54.28,73,75,8.05,broken clouds
227,Bonfim,BR,3.0833,-59.95,81.48,58,100,6.62,overcast clouds
228,Potomac,US,39.0182,-77.2086,35.01,58,0,10.36,clear sky
229,Villarrica,PY,-25.75,-56.4333,75.25,28,0,3.6,clear sky
230,Haines Junction,CA,60.7522,-137.5108,37.35,60,99,11.5,overcast clouds
231,Kununurra,AU,-15.7667,128.7333,91.38,55,25,4.61,scattered clouds
232,Leshukonskoye,RU,64.8989,45.7622,28.98,84,99,12.75,overcast clouds
233,Betera,ES,39.5833,-0.45,57.88,86,0,8.05,clear sky
234,Georgetown,MY,5.4112,100.3354,82.33,82,20,9.22,few clouds
235,Bedford,GB,52.1346,-0.4663,39.94,72,7,20.87,clear sky
236,Longyearbyen,SJ,78.2186,15.6401,4.84,72,20,14.97,few clouds
237,Avarua,CK,-21.2078,-159.775,84.25,79,20,11.5,few clouds
238,Yuzhno-Sukhokumsk,RU,44.6581,45.6436,35.33,95,0,2.55,clear sky
239,Port Macquarie,AU,-31.4333,152.9167,75.7,64,86,13.51,overcast clouds
240,Ormara,PK,25.2088,64.6357,70.9,59,1,8.12,clear sky
241,Rampur Hat,IN,24.1667,87.7833,65.77,36,1,4.43,clear sky
242,Cayeli,TR,41.0923,40.7292,46.44,81,75,4.92,broken clouds
243,Alamos,MX,27.0167,-108.9333,63.72,27,0,2.15,clear sky
244,Minot,US,48.2325,-101.2963,4.19,66,0,23.02,clear sky
245,Putyatino,RU,54.16,41.1169,33.01,78,100,8.41,overcast clouds
246,Ca Mau,VN,9.1769,105.15,86.38,54,90,6.35,overcast clouds
247,Gijon,ES,43.5357,-5.6615,48.99,85,98,5.99,overcast clouds
248,Puerto Carreno,CO,6.189,-67.4859,84.31,51,100,4.54,overcast clouds
249,Nouadhibou,MR,20.931,-17.0347,63.97,70,0,20.47,clear sky
250,Kavaratti,IN,10.5669,72.642,80.71,72,63,10.63,broken clouds
251,Rosarito,MX,32.3333,-117.0333,63.81,46,0,8.21,clear sky
252,Wilmington,US,34.2257,-77.9447,57.9,60,0,8.05,clear sky
253,Sibolga,ID,1.7427,98.7792,82.71,61,90,0.96,overcast clouds
